Gender,Length,Diameter,Height,Weight,Rings
F,0.635,0.5,0.18,1.312,18
I,0.245,0.175,0.055,0.0785,5
F,0.59,0.415,0.15,0.8805,11
M,0.505,0.39,0.115,0.5585,8
I,0.385,0.3,0.09,0.308,8
M,0.53,0.415,0.13,0.8425,20
F,0.56,0.44,0.135,0.8025,9
I,0.425,0.325,0.115,0.3685,7
M,0.565,0.425,0.16,0.9425,17
F,0.585,0.455,0.165,0.998,12
F,0.58,0.445,0.145,0.888,8
M,0.625,0.47,0.175,1.179,9
I,0.545,0.42,0.165,0.8935,8
I,0.16,0.11,0.025,0.0195,4
M,0.525,0.43,0.165,0.8645,16
I,0.375,0.285,0.08,0.226,7
F,0.52,0.425,0.15,0.813,10
I,0.475,0.36,0.125,0.4905,8
F,0.585,0.45,0.16,0.9045,8
F,0.58,0.425,0.15,0.844,9
M,0.61,0.475,0.165,1.116,15
F,0.625,0.485,0.19,1.1745,17
M,0.37,0.29,0.09,0.241,10
M,0.375,0.29,0.1,0.276,9
M,0.335,0.26,0.075,0.22,6
F,0.605,0.485,0.165,1.0735,14
F,0.58,0.435,0.155,0.8785,10
M,0.5,0.375,0.15,0.636,10
I,0.29,0.21,0.07,0.1115,5
I,0.485,0.365,0.105,0.5205,8
M,0.62,0.485,0.155,1.0295,12
I,0.52,0.39,0.13,0.5545,7
F,0.63,0.495,0.2,1.4255,11
I,0.445,0.31,0.09,0.336,7
I,0.315,0.23,0,0.134,6
M,0.485,0.385,0.125,0.4775,12
M,0.65,0.51,0.175,1.3165,12
F,0.62,0.475,0.15,0.9545,9
M,0.46,0.375,0.13,0.5735,9
F,0.415,0.325,0.105,0.38,12
M,0.375,0.3,0.1,0.2465,11
I,0.21,0.15,0.055,0.0465,5
I,0.24,0.17,0.05,0.0545,5
M,0.615,0.475,0.175,1.103,10
F,0.61,0.49,0.17,1.1775,15
M,0.48,0.375,0.12,0.5895,11
I,0.375,0.285,0.09,0.257,7
I,0.475,0.365,0.125,0.5465,9
I,0.215,0.15,0.055,0.041,3
M,0.68,0.54,0.195,1.7825,11
M,0.335,0.25,0.09,0.181,7
M,0.495,0.395,0.12,0.553,8
I,0.55,0.43,0.145,0.7895,11
I,0.3,0.23,0.085,0.117,6
M,0.565,0.455,0.185,0.9265,16
M,0.74,0.605,0.2,2.4925,13
F,0.635,0.49,0.17,1.2615,9
F,0.635,0.535,0.19,1.242,14
F,0.455,0.375,0.125,0.458,10
M,0.51,0.39,0.125,0.6565,10
M,0.705,0.56,0.22,1.981,14
M,0.67,0.52,0.19,1.6385,9
F,0.62,0.49,0.16,1.056,9
M,0.695,0.53,0.21,1.51,10
I,0.395,0.27,0.1,0.2985,5
I,0.325,0.24,0.07,0.152,8
M,0.535,0.405,0.14,0.7315,7
M,0.555,0.435,0.145,0.9205,8
I,0.395,0.305,0.105,0.284,8
M,0.55,0.43,0.15,0.8745,9
F,0.665,0.54,0.195,1.764,11
I,0.475,0.35,0.11,0.4565,6
F,0.63,0.5,0.175,1.1105,10
M,0.69,0.505,0.2,1.872,10
F,0.455,0.355,1.13,0.594,8
I,0.33,0.265,0.085,0.196,6
M,0.65,0.51,0.19,1.542,9
M,0.565,0.455,0.155,0.9355,11
M,0.525,0.42,0.155,0.842,9
M,0.235,0.17,0.055,0.0515,7
M,0.66,0.51,0.18,1.261,10
I,0.4,0.305,0.1,0.3415,7
M,0.55,0.425,0.155,0.9175,13
I,0.255,0.19,0.075,0.0865,5
M,0.565,0.445,0.145,0.9255,9
I,0.26,0.2,0.07,0.092,6
M,0.555,0.425,0.15,0.873,9
I,0.43,0.315,0.115,0.384,8
I,0.38,0.275,0.095,0.2425,6
F,0.545,0.405,0.175,0.98,18
I,0.56,0.42,0.14,0.837,8
F,0.55,0.445,0.155,0.9905,9
F,0.45,0.325,0.135,0.438,9
M,0.385,0.285,0.105,0.2905,12
F,0.55,0.38,0.165,1.205,10
I,0.36,0.265,0.085,0.1865,7
M,0.515,0.38,0.135,0.6615,10
M,0.6,0.46,0.155,0.9595,11
F,0.675,0.53,0.195,1.4985,9
I,0.465,0.365,0.115,0.467,7
I,0.36,0.28,0.09,0.2255,8
F,0.7,0.535,0.175,1.773,15
M,0.58,0.45,0.145,1.0025,8
F,0.66,0.52,0.2,1.676,17
F,0.555,0.405,0.12,0.913,9
F,0.36,0.265,0.09,0.2065,8
I,0.415,0.325,0.1,0.3335,7
F,0.6,0.45,0.14,0.837,10
M,0.62,0.475,0.185,1.325,13
I,0.44,0.31,0.115,0.3625,11
M,0.7,0.575,0.19,2.273,12
M,0.625,0.52,0.175,1.4105,10
F,0.645,0.48,0.19,1.371,12
I,0.24,0.175,0.055,0.0705,5
M,0.725,0.57,0.19,2.55,14
F,0.545,0.44,0.15,0.9475,8
M,0.55,0.43,0.18,0.8265,10
F,0.685,0.53,0.17,1.5105,10
F,0.6,0.455,0.145,0.8895,10
M,0.645,0.515,0.185,1.4605,19
I,0.5,0.36,0.12,0.439,8
M,0.58,0.43,0.125,0.9115,10
F,0.565,0.45,0.135,0.9885,12
F,0.66,0.525,0.16,1.277,13
I,0.37,0.27,0.095,0.2175,6
I,0.465,0.38,0.13,0.454,11
M,0.63,0.5,0.175,1.2645,10
I,0.33,0.255,0.095,0.172,6
M,0.49,0.39,0.14,0.707,13
M,0.57,0.475,0.195,1.0295,18
F,0.515,0.4,0.17,0.796,16
M,0.35,0.26,0.09,0.195,9
I,0.265,0.21,0.06,0.0965,5
M,0.575,0.47,0.185,0.985,10
I,0.44,0.32,0.105,0.3875,9
M,0.58,0.46,0.155,1.4395,10
I,0.55,0.425,0.13,0.664,8
F,0.51,0.38,0.13,0.584,13
M,0.55,0.42,0.16,1.3405,10
F,0.64,0.51,0.2,1.3905,12
I,0.3,0.225,0.075,0.1345,5
F,0.63,0.5,0.17,1.3135,20
I,0.44,0.33,0.135,0.4095,6
I,0.54,0.43,0.14,0.8195,9
I,0.495,0.4,0.105,0.602,8
F,0.4,0.325,0.12,0.3185,8
F,0.675,0.53,0.175,1.4465,10
I,0.55,0.45,0.13,0.804,6
M,0.72,0.55,0.205,2.165,10
M,0.57,0.435,0.125,0.8965,9
I,0.49,0.375,0.115,0.557,8
M,0.28,0.21,0.08,0.1085,7
M,0.53,0.425,0.13,0.7455,10
F,0.585,0.45,0.17,0.8685,22
I,0.385,0.29,0.09,0.2615,9
I,0.58,0.445,0.15,0.8865,11
I,0.455,0.345,0.11,0.434,8
F,0.605,0.515,0.17,1.289,9
F,0.455,0.365,0.115,0.4305,8
I,0.45,0.34,0.125,0.4045,8
I,0.475,0.365,0.115,0.49,9
F,0.63,0.48,0.15,1.0525,12
M,0.64,0.53,0.165,1.1895,11
F,0.4,0.305,0.16,0.368,7
I,0.62,0.47,0.14,0.8565,9
M,0.395,0.28,0.08,0.266,12
I,0.325,0.245,0.075,0.1495,5
F,0.505,0.4,0.125,0.583,7
F,0.625,0.515,0.15,1.2415,15
M,0.495,0.4,0.135,0.61,7
M,0.48,0.355,0.16,0.464,8
F,0.655,0.49,0.16,1.204,9
I,0.11,0.09,0.03,0.008,3
I,0.385,0.265,0.08,0.251,6
M,0.505,0.365,0.115,0.521,8
M,0.685,0.52,0.15,1.3735,11
F,0.53,0.42,0.135,0.677,9
F,0.585,0.475,0.165,1.053,11
F,0.49,0.38,0.155,0.578,9
M,0.49,0.395,0.14,0.549,11
I,0.3,0.22,0.065,0.1195,5
F,0.615,0.485,0.16,1.1575,10
I,0.5,0.4,0.12,0.616,8
F,0.29,0.21,0.075,0.275,6
M,0.525,0.385,0.1,0.5115,8
F,0.595,0.465,0.15,1.1005,8
F,0.635,0.515,0.19,1.3715,10
I,0.35,0.26,0.075,0.18,5
F,0.49,0.385,0.15,0.7865,23
F,0.6,0.47,0.17,1.0805,9
M,0.535,0.435,0.15,0.717,9
I,0.52,0.4,0.13,0.5825,10
M,0.61,0.48,0.165,1.244,12
I,0.6,0.445,0.135,0.9205,9
I,0.29,0.215,0.06,0.1115,5
M,0.575,0.445,0.14,0.737,10
F,0.625,0.49,0.155,1.2085,11
F,0.525,0.41,0.115,0.7745,7
F,0.67,0.55,0.155,1.566,10
M,0.45,0.355,0.115,0.478,10
I,0.3,0.23,0.095,0.1385,6
F,0.66,0.5,0.175,1.3275,9
M,0.44,0.335,0.11,0.394,9
M,0.45,0.345,0.105,0.4115,7
F,0.485,0.39,0.1,0.5565,9
M,0.625,0.495,0.155,1.025,9
I,0.415,0.33,0.09,0.3595,6
F,0.38,0.305,0.105,0.281,12
I,0.575,0.425,0.135,0.7965,10
I,0.43,0.325,0.105,0.309,6
F,0.595,0.46,0.14,1.0045,9
F,0.52,0.405,0.125,0.6435,12
M,0.63,0.49,0.18,1.13,12
I,0.605,0.48,0.155,0.9995,10
I,0.425,0.345,0.125,0.425,13
F,0.735,0.6,0.22,2.555,11
M,0.63,0.48,0.165,1.286,8
F,0.66,0.53,0.17,1.326,13
M,0.515,0.455,0.135,0.7225,9
M,0.295,0.225,0.09,0.1385,9
I,0.47,0.4,0.16,0.51,14
F,0.475,0.4,0.115,0.541,13
M,0.655,0.515,0.16,1.31,11
F,0.4,0.335,0.115,0.4335,10
F,0.675,0.535,0.185,1.5575,11
F,0.6,0.475,0.18,1.162,18
F,0.675,0.55,0.175,1.689,13
M,0.665,0.515,0.2,1.2695,12
F,0.605,0.485,0.16,1.0565,10
I,0.39,0.3,0.1,0.3085,6
M,0.585,0.45,0.15,1.047,14
F,0.71,0.565,0.195,1.7265,17
I,0.455,0.345,0.105,0.4005,8
M,0.64,0.515,0.165,1.369,10
F,0.57,0.465,0.155,0.872,14
M,0.585,0.43,0.16,0.955,11
F,0.48,0.37,0.13,0.5885,15
M,0.705,0.555,0.215,2.141,11
I,0.515,0.385,0.125,0.572,7
F,0.625,0.5,0.165,1.288,9
I,0.425,0.34,0.1,0.3515,7
M,0.465,0.34,0.105,0.486,9
I,0.365,0.27,0.085,0.205,7
I,0.375,0.27,0.085,0.218,7
M,0.62,0.465,0.185,1.274,12
M,0.575,0.47,0.15,1.1415,13
F,0.525,0.415,0.17,0.8325,13
I,0.555,0.43,0.125,0.7005,8
I,0.465,0.36,0.105,0.498,15
M,0.645,0.51,0.16,1.1835,11
F,0.61,0.49,0.17,1.137,12
M,0.28,0.205,0.1,0.1165,5
F,0.5,0.4,0.125,0.6675,10
F,0.61,0.47,0.165,1.1785,11
M,0.505,0.385,0.13,0.6435,7
F,0.61,0.465,0.16,1.0725,10
F,0.53,0.42,0.17,0.828,6
M,0.475,0.375,0.12,0.563,10
I,0.46,0.36,0.1,0.4635,7
F,0.595,0.455,0.16,1.04,9
I,0.455,0.35,0.13,0.4725,9
M,0.48,0.375,0.145,0.777,9
I,0.495,0.33,0.1,0.44,7
M,0.515,0.39,0.12,0.6125,8
I,0.485,0.355,0.12,0.5085,9
F,0.39,0.3,0.1,0.265,13
F,0.56,0.445,0.155,1.224,10
I,0.19,0.145,0.04,0.038,4
I,0.535,0.4,0.145,0.705,10
F,0.595,0.44,0.135,0.964,10
I,0.295,0.225,0.09,0.1105,7
F,0.61,0.495,0.175,1.2635,10
M,0.46,0.355,0.14,0.491,10
F,0.595,0.475,0.17,1.247,20
I,0.565,0.46,0.155,0.8715,10
F,0.625,0.505,0.175,1.15,11
I,0.575,0.455,0.16,0.9895,9
M,0.35,0.26,0.09,0.198,10
M,0.6,0.455,0.17,1.1915,8
M,0.55,0.41,0.15,0.785,12
F,0.615,0.475,0.165,1.023,12
M,0.275,0.205,0.07,0.094,5
M,0.665,0.54,0.175,1.347,17
F,0.585,0.46,0.17,1.0835,14
M,0.34,0.255,0.095,0.213,9
F,0.705,0.55,0.17,1.219,9
M,0.615,0.475,0.15,1.0375,9
F,0.67,0.52,0.19,1.32,13
I,0.365,0.275,0.085,0.223,7
F,0.545,0.4,0.14,0.778,9
M,0.62,0.51,0.175,1.2815,10
I,0.505,0.425,0.125,0.6115,9
M,0.615,0.475,0.175,1.224,9
M,0.585,0.405,0.15,1.2565,15
I,0.155,0.105,0.05,0.0175,4
I,0.405,0.285,0.09,0.2645,6
I,0.575,0.455,0.155,0.8725,8
M,0.565,0.435,0.15,0.99,8
I,0.525,0.41,0.175,0.874,18
F,0.55,0.465,0.18,1.2125,27
I,0.5,0.39,0.125,0.583,8
I,0.38,0.285,0.095,0.243,7
M,0.46,0.375,0.14,0.5105,9
F,0.275,0.195,0.07,0.08,5
M,0.35,0.275,0.11,0.2925,8
I,0.515,0.4,0.14,0.7165,8
F,0.675,0.525,0.17,1.8095,12
I,0.54,0.415,0.135,0.709,9
M,0.595,0.475,0.165,1.213,9
M,0.635,0.51,0.17,1.3555,9
F,0.45,0.345,0.115,0.496,12
M,0.61,0.49,0.16,1.112,10
I,0.31,0.225,0.05,0.1445,6
F,0.58,0.46,0.175,1.165,9
M,0.545,0.42,0.145,0.778,7
I,0.425,0.33,0.115,0.3265,6
M,0.695,0.55,0.205,2.173,10
F,0.38,0.305,0.095,0.2815,8
M,0.655,0.52,0.165,1.4095,9
I,0.625,0.485,0.15,1.044,9
M,0.475,0.36,0.12,0.578,8
M,0.525,0.405,0.12,0.7555,9
I,0.345,0.255,0.095,0.183,6
F,0.575,0.445,0.135,0.883,11
I,0.415,0.31,0.11,0.2965,10
F,0.61,0.485,0.165,1.087,11
I,0.46,0.335,0.11,0.444,8
M,0.57,0.45,0.155,1.195,10
M,0.54,0.42,0.19,0.6855,10
M,0.68,0.515,0.16,1.2345,11
I,0.35,0.265,0.11,0.209,9
I,0.28,0.205,0.08,0.127,9
I,0.525,0.4,0.13,0.6445,8
M,0.655,0.53,0.195,1.388,13
M,0.445,0.345,0.09,0.3795,10
I,0.55,0.435,0.125,0.741,9
F,0.6,0.45,0.15,0.9625,9
M,0.625,0.5,0.13,1.082,8
I,0.51,0.38,0.115,0.5155,8
F,0.815,0.65,0.25,2.255,14
F,0.485,0.375,0.145,0.5885,13
I,0.445,0.32,0.12,0.378,8
I,0.45,0.33,0.105,0.448,9
M,0.72,0.565,0.19,2.081,11
I,0.58,0.445,0.17,1.178,20
M,0.71,0.555,0.195,1.9485,12
M,0.325,0.24,0.085,0.173,7
M,0.47,0.37,0.13,0.5225,7
M,0.66,0.515,0.195,1.5655,9
F,0.655,0.5,0.205,1.528,11
I,0.22,0.165,0.055,0.0545,5
M,0.44,0.35,0.11,0.4585,9
I,0.515,0.395,0.125,0.5805,9
I,0.415,0.31,0.1,0.2805,6
I,0.525,0.39,0.105,0.567,8
F,0.575,0.45,0.17,1.0475,18
I,0.555,0.43,0.155,0.7395,10
I,0.455,0.35,0.105,0.4445,7
I,0.48,0.38,0.125,0.6245,8
F,0.74,0.6,0.195,1.974,16
M,0.48,0.38,0.135,0.528,14
F,0.505,0.395,0.145,0.6515,15
M,0.62,0.47,0.15,1.309,9
I,0.315,0.235,0.075,0.1285,4
I,0.365,0.295,0.095,0.25,9
F,0.565,0.45,0.195,1.0035,15
M,0.63,0.49,0.17,1.1745,11
I,0.35,0.25,0.1,0.4015,7
M,0.365,0.295,0.08,0.2555,7
M,0.48,0.36,0.1,0.439,8
F,0.535,0.435,0.16,0.8105,10
M,0.465,0.405,0.135,0.7775,10
M,0.545,0.42,0.125,0.9745,13
M,0.64,0.575,0.175,1.4585,11
I,0.075,0.055,0.01,0.002,1
F,0.58,0.44,0.175,1.073,19
F,0.545,0.42,0.175,0.754,10
I,0.55,0.425,0.155,0.8725,10
F,0.5,0.4,0.145,0.63,12
F,0.61,0.475,0.14,1.133,11
I,0.455,0.36,0.115,0.457,10
M,0.595,0.47,0.175,0.991,12
F,0.58,0.475,0.155,0.974,10
I,0.335,0.25,0.095,0.185,8
M,0.49,0.395,0.12,0.674,9
I,0.415,0.315,0.105,0.33,6
F,0.49,0.4,0.145,0.6635,13
I,0.39,0.31,0.085,0.344,7
I,0.385,0.29,0.09,0.232,7
F,0.505,0.375,0.115,0.5895,10
I,0.345,0.255,0.095,0.1945,6
F,0.585,0.45,0.16,1.077,10
M,0.545,0.42,0.12,0.7865,7
I,0.52,0.4,0.11,0.597,8
I,0.54,0.41,0.135,0.7025,8
I,0.515,0.405,0.13,0.573,9
I,0.52,0.38,0.115,0.6645,7
M,0.605,0.49,0.145,1.3,14
F,0.705,0.53,0.17,1.564,10
I,0.515,0.375,0.14,0.6505,10
M,0.595,0.475,0.14,0.944,9
F,0.695,0.55,0.155,1.8495,10
F,0.54,0.44,0.135,0.959,17
M,0.55,0.44,0.16,0.991,20
M,0.505,0.385,0.105,0.5525,9
M,0.605,0.475,0.145,0.884,8
F,0.62,0.485,0.175,1.2155,10
I,0.655,0.515,0.145,1.25,15
I,0.51,0.395,0.13,0.6025,7
F,0.605,0.465,0.155,1.1,10
I,0.57,0.44,0.13,0.7665,10
I,0.465,0.37,0.12,0.4365,9
I,0.47,0.375,0.105,0.468,10
F,0.515,0.415,0.14,0.6935,10
F,0.58,0.44,0.125,0.7855,11
M,0.7,0.55,0.175,1.4405,12
I,0.42,0.325,0.125,0.3915,9
M,0.735,0.59,0.225,1.756,21
M,0.55,0.42,0.17,0.8465,13
M,0.615,0.46,0.17,1.0565,10
F,0.37,0.28,0.11,0.2305,10
M,0.525,0.405,0.135,0.7575,10
I,0.56,0.425,0.14,0.9175,10
M,0.645,0.49,0.175,1.32,11
M,0.65,0.525,0.19,1.4995,14
M,0.63,0.505,0.175,1.221,12
F,0.575,0.46,0.165,0.9575,10
I,0.42,0.3,0.105,0.316,7
I,0.605,0.495,0.145,1.054,12
M,0.57,0.415,0.13,0.88,13
M,0.515,0.35,0.155,0.9225,9
F,0.435,0.35,0.125,0.459,9
I,0.51,0.405,0.12,0.61,11
M,0.61,0.485,0.16,1.0145,8
I,0.57,0.445,0.155,0.867,9
I,0.435,0.32,0.08,0.3325,9
I,0.36,0.265,0.095,0.2315,7
F,0.405,0.325,0.11,0.3555,9
F,0.56,0.445,0.195,0.981,16
I,0.37,0.28,0.09,0.218,7
I,0.275,0.195,0.065,0.106,6
I,0.345,0.285,0.1,0.2225,8
M,0.495,0.385,0.135,0.709,12
F,0.45,0.35,0.125,0.4435,11
F,0.615,0.47,0.155,1.084,9
I,0.415,0.315,0.1,0.3645,8
I,0.59,0.475,0.145,0.9745,10
I,0.455,0.33,0.1,0.372,8
I,0.32,0.25,0.08,0.1565,9
F,0.525,0.41,0.15,0.708,12
F,0.44,0.34,0.13,0.4195,10
M,0.57,0.45,0.16,0.8615,12
F,0.705,0.555,0.195,1.7525,12
I,0.445,0.33,0.12,0.347,11
F,0.345,0.25,0.09,0.203,6
I,0.49,0.4,0.135,0.624,8
M,0.65,0.485,0.16,1.7395,10
M,0.57,0.455,0.155,0.832,11
F,0.6,0.48,0.18,1.0645,10
M,0.605,0.455,0.16,1.1215,10
F,0.53,0.41,0.145,0.8255,9
F,0.545,0.44,0.175,0.7745,11
M,0.36,0.295,0.13,0.2765,10
M,0.535,0.415,0.135,0.78,8
M,0.75,0.595,0.205,2.2205,12
F,0.625,0.49,0.2,1.3825,11
I,0.635,0.505,0.19,1.3315,17
F,0.54,0.425,0.16,0.9455,9
F,0.505,0.425,0.14,0.85,19
I,0.505,0.38,0.135,0.5385,9
F,0.575,0.45,0.12,0.9585,12
F,0.63,0.485,0.185,1.167,10
M,0.62,0.51,0.175,1.1505,12
I,0.33,0.24,0.075,0.163,6
M,0.515,0.425,0.145,0.9365,8
M,0.695,0.54,0.195,1.691,11
F,0.545,0.385,0.15,1.1185,9
M,0.615,0.49,0.17,1.145,13
F,0.605,0.45,0.195,1.098,13
M,0.49,0.385,0.125,0.609,8
I,0.32,0.255,0.085,0.1745,8
F,0.545,0.41,0.125,0.6935,11
F,0.67,0.54,0.165,1.5015,14
M,0.62,0.48,0.165,1.0855,10
M,0.67,0.52,0.175,1.4755,10
F,0.525,0.415,0.14,0.724,8
M,0.58,0.455,0.195,1.859,9
M,0.59,0.485,0.12,0.911,16
M,0.655,0.52,0.17,1.1445,9
I,0.295,0.225,0.08,0.124,9
F,0.68,0.55,0.2,1.596,21
F,0.67,0.525,0.195,1.42,10
M,0.48,0.365,0.13,0.5305,8
M,0.585,0.455,0.15,0.987,11
I,0.445,0.325,0.1,0.378,7
I,0.55,0.415,0.135,0.8095,12
I,0.455,0.435,0.11,0.4265,8
M,0.66,0.5,0.165,1.3195,9
I,0.525,0.4,0.13,0.6455,8
M,0.515,0.395,0.135,1.007,8